id,age,gender,location
233911,1980-1989,f,华东
265355,1980-1989,f,华南
253993,1980-1989,m,华东
230079,1980-1989,m,华东
262517,1980-1989,f,华东
265356,1980-1989,m,华南
262064,1980-1989,m,华南
259173,1990+,m,华东
245732,1990+,m,华南
265357,1980-1989,m,华南
265358,1980-1989,m,华东
233529,1980-1989,m,华北
265359,1980-1989,m,华北
249998,1980-1989,m,华北
265360,1980-1989,m,华东
247467,1980-1989,m,华东
235962,1980-1989,m,华南
265361,1980-1989,m,华东
265362,1980-1989,f,华北
256321,1980-1989,m,华东
265363,1980-1989,m,华北
226369,1980-1989,m,华东
265364,1980-1989,m,华东
265365,1990+,m,华南
259891,1980-1989,m,华北
210902,1980-1989,m,华北
265366,1980-1989,m,华东
261858,1980-1989,m,华东
254061,1980-1989,m,华北
265367,1980-1989,m,华北
265368,1980-1989,m,华中
265369,1980-1989,m,华东
265370,1980-1989,m,华南
260061,1980-1989,f,华南
265371,1980-1989,m,华中
227325,1980-1989,m,华南
265372,1980-1989,m,华中
265373,1980-1989,m,华北
252191,1990+,f,华北
240086,1980-1989,m,华北
240859,1980-1989,m,华南
242864,1980-1989,m,华中
234063,1980-1989,m,华南
265374,1980-1989,m,华北
265375,1980-1989,m,华南
265376,1980-1989,m,华东
265377,1980-1989,m,华东
238687,1980-1989,m,华北
220628,1980-1989,m,华北
265379,1980-1989,m,华北
247894,1980-1989,m,华南
248803,1980-1989,m,华南
261859,1980-1989,m,华南
257848,1980-1989,f,华北
265380,1980-1989,m,华北
265381,1980-1989,f,华北
265382,1980-1989,m,华北
222462,1990+,m,华南
265383,1990+,f,华北
265384,1980-1989,m,华东
265386,1980-1989,f,华北
222344,1980-1989,m,华东
265387,1990+,m,华南
244334,1980-1989,m,华北
233741,1980-1989,m,华东
262060,1980-1989,m,华东
204952,1980-1989,m,华北
265388,1980-1989,m,华中
248675,1980-1989,m,华南
265389,1980-1989,m,华南
246034,1980-1989,f,华北
262756,1980-1989,m,华南
232449,1980-1989,f,华北
265390,1980-1989,m,华北
240157,1980-1989,f,华北
208098,1990+,f,华北
265391,1980-1989,m,华南
265392,1980-1989,m,华南
265393,1980-1989,m,华北
265394,1980-1989,m,华东
247947,1980-1989,m,华北
221373,1990+,m,华东
248765,1980-1989,m,华东
244803,1980-1989,f,华东
265395,1980-1989,m,华北
265396,1980-1989,m,华东
265397,1980-1989,m,华南
265398,1980-1989,m,华北
265399,1980-1989,m,华南
224826,1980-1989,m,华东
257780,1980-1989,m,华北
265400,1980-1989,m,华南
265401,1980-1989,m,华南
258710,1980-1989,m,华东
223332,1980-1989,m,华东
265402,1980-1989,m,华北
248880,1980-1989,m,华东
228294,1990+,m,华南
263463,1990+,m,华南
265403,1980-1989,f,华北
265253,1980-1989,m,华南
265244,1980-1989,m,华南
235163,1980-1989,f,华东
265404,1980-1989,f,华南
265405,1980-1989,m,华南
265406,1980-1989,m,华南
208222,1980-1989,m,华北
265407,1990+,m,华中
265408,1980-1989,m,华北
205909,1980-1989,m,华北
228029,1980-1989,m,华南
265409,1980-1989,m,华南
265410,1980-1989,m,华东
224505,1980-1989,m,华北
211129,1980-1989,m,华北
265411,1980-1989,m,华北
265412,1980-1989,f,华南
265413,1980-1989,m,华南
246961,1980-1989,m,华南
264356,1980-1989,m,华南
260641,1990+,m,华南
254952,1980-1989,m,华南
234139,1980-1989,m,华南
265414,1980-1989,m,华东
234965,1990+,m,华南
265415,1990+,f,华南
254039,1990+,m,华南
265416,1980-1989,m,华北
265417,1980-1989,m,华北
265418,1980-1989,m,华南
239189,1980-1989,m,华东
237799,1980-1989,m,华北
233158,1990+,m,华南
265419,1980-1989,m,华东
231009,1980-1989,m,华东
254965,1980-1989,m,华东
263238,1980-1989,m,华东
233524,1979-,m,华东
238239,1990+,m,华南
243320,1980-1989,m,华南
265420,1980-1989,m,华南
263687,1980-1989,f,华南
265421,1980-1989,m,华东
265422,1980-1989,m,华北
265423,1980-1989,m,华东
232479,1990+,m,华东
259928,1980-1989,f,华北
265424,1990+,m,华南
265425,1980-1989,m,华北
225138,1980-1989,m,华北
265426,1980-1989,m,华东
256508,1990+,m,华东
238718,1980-1989,m,华南
227018,1980-1989,m,华南
265427,1980-1989,f,华南
262492,1980-1989,m,华北
265428,1980-1989,m,华东
256037,1980-1989,m,华东
265429,1979-,m,华东
265430,1990+,f,华南
265431,1980-1989,m,华北
248360,1980-1989,m,华东
265432,1980-1989,m,华中
265433,1980-1989,m,华南
238672,1980-1989,m,华东
265434,1980-1989,m,华南
217532,1980-1989,m,华东
234979,1979-,m,华北
265435,1980-1989,m,华东
265436,1980-1989,m,华东
263519,1980-1989,f,华东
234871,1980-1989,m,华东
259689,1990+,f,华东
248811,1980-1989,m,华北
265437,1980-1989,m,华北
265438,1980-1989,m,华南
242162,1980-1989,m,华北
229501,1980-1989,f,华东
220599,1980-1989,m,华东
265296,1990+,m,华南
258716,1980-1989,m,华南
265439,1980-1989,m,华南
241496,1980-1989,m,华南
265440,1980-1989,m,华南
258316,1980-1989,m,华南
228232,1980-1989,m,华南
265347,1980-1989,f,华南
265292,1980-1989,m,华北
236788,1980-1989,m,华南
265441,1980-1989,m,华南
245111,1980-1989,m,华南
265442,1980-1989,m,华北
244357,1980-1989,m,华东
216084,1980-1989,f,华东
265443,1980-1989,m,华东
262534,1980-1989,m,华南
