id,age,gender,location
233911,1979-,m,华南
265355,1980-1989,m,华南
253993,1980-1989,m,东北
230079,1979-,m,华南
262517,1980-1989,m,华南
265356,1979-,m,华南
262064,1980-1989,m,华东
259173,1980-1989,m,华东
245732,1980-1989,m,华北
265357,1980-1989,m,华南
265358,1980-1989,m,华北
233529,1980-1989,m,华东
265359,1979-,m,华东
249998,1979-,m,华南
265360,1980-1989,m,华北
247467,1980-1989,m,华北
235962,1980-1989,m,华南
265361,1979-,m,华北
265362,1980-1989,m,华南
256321,1980-1989,m,华东
265363,1980-1989,m,华东
226369,1980-1989,m,华北
265364,1980-1989,m,华东
265365,1980-1989,m,华北
259891,1979-,m,华南
210902,1980-1989,m,华北
265366,1990+,m,华北
261858,1979-,m,华北
254061,1980-1989,m,华北
265367,1980-1989,m,华南
265368,1980-1989,m,华东
265369,1979-,m,华北
265370,1980-1989,m,华南
260061,1980-1989,m,华南
265371,1990+,m,华北
227325,1990+,m,华北
265372,1980-1989,m,华南
265373,1990+,m,华东
252191,1980-1989,m,华南
240086,1979-,m,华东
240859,1980-1989,m,华东
242864,1980-1989,m,华东
234063,1980-1989,m,华南
265374,1980-1989,m,华东
265375,1990+,m,华北
265376,1980-1989,m,华南
265377,1980-1989,m,华东
238687,1980-1989,m,华东
220628,1980-1989,m,华东
265379,1980-1989,m,华北
247894,1980-1989,m,华南
248803,1979-,m,华北
261859,1980-1989,m,华南
257848,1980-1989,m,华北
265380,1979-,m,华北
265381,1980-1989,m,华北
265382,1980-1989,m,华东
222462,1980-1989,m,华北
265383,1980-1989,m,华北
265384,1980-1989,m,华东
265386,1979-,m,华东
222344,1980-1989,m,华东
265387,1980-1989,m,华南
244334,1980-1989,m,华南
233741,1979-,m,华北
262060,1980-1989,m,华北
204952,1980-1989,m,华北
265388,1980-1989,m,华中
248675,1990+,m,华北
265389,1979-,m,华南
246034,1980-1989,m,华北
262756,1980-1989,m,华南
232449,1980-1989,m,华南
265390,1979-,m,华南
240157,1980-1989,m,华北
208098,1990+,m,华东
265391,1980-1989,m,华南
265392,1980-1989,m,华南
265393,1980-1989,m,华南
265394,1980-1989,m,华北
247947,1980-1989,m,华东
221373,1980-1989,m,华东
248765,1980-1989,m,华北
244803,1980-1989,m,华东
265395,1980-1989,m,华北
265396,1990+,m,华北
265397,1980-1989,m,华南
265398,1979-,m,华东
265399,1990+,m,华南
224826,1980-1989,m,华北
257780,1980-1989,m,华东
265400,1979-,m,华北
265401,1980-1989,m,华北
258710,1980-1989,m,华东
223332,1979-,m,华北
265402,1980-1989,m,华南
248880,1990+,m,华北
228294,1980-1989,m,华南
263463,1980-1989,m,华南
265403,1980-1989,m,华东
265253,1980-1989,m,华北
265244,1990+,m,华北
235163,1980-1989,m,华北
265404,1980-1989,m,华南
265405,1980-1989,m,华南
265406,1980-1989,m,华北
208222,1980-1989,m,华北
265407,1980-1989,m,华北
265408,1980-1989,m,华东
205909,1980-1989,m,华东
228029,1980-1989,m,华南
265409,1980-1989,m,华南
265410,1990+,m,华南
224505,1980-1989,m,华东
211129,1980-1989,m,华北
265411,1980-1989,m,华东
265412,1980-1989,m,华南
265413,1990+,m,华东
246961,1980-1989,m,华南
264356,1990+,m,华南
260641,1990+,m,华南
254952,1980-1989,m,华南
234139,1980-1989,m,华东
265414,1980-1989,m,华南
234965,1980-1989,m,华南
265415,1980-1989,m,华南
254039,1979-,m,华南
265416,1980-1989,m,华北
265417,1980-1989,m,华东
265418,1980-1989,m,华南
239189,1980-1989,m,华北
237799,1980-1989,m,华北
233158,1980-1989,m,华南
265419,1979-,m,华北
231009,1980-1989,m,华东
254965,1980-1989,m,华东
263238,1990+,m,华北
233524,1979-,m,华北
238239,1979-,m,华南
243320,1990+,m,华北
265420,1980-1989,m,华南
263687,1980-1989,m,华南
265421,1979-,m,华南
265422,1980-1989,m,华东
265423,1980-1989,m,华北
232479,1980-1989,m,华北
259928,1980-1989,m,华东
265424,1990+,m,华东
265425,1980-1989,m,华南
225138,1980-1989,m,华东
265426,1979-,m,华北
256508,1980-1989,m,华北
238718,1980-1989,m,华南
227018,1990+,m,华北
265427,1980-1989,m,华北
262492,1980-1989,m,华北
265428,1990+,m,华东
256037,1980-1989,m,华东
265429,1979-,m,华北
265430,1990+,m,华南
265431,1980-1989,m,华北
248360,1980-1989,m,华中
265432,1980-1989,m,华南
265433,1980-1989,m,华南
238672,1980-1989,m,华南
265434,1980-1989,m,华北
217532,1980-1989,m,华北
234979,1979-,m,华北
265435,1979-,m,华东
265436,1980-1989,m,华南
263519,1980-1989,m,华东
234871,1980-1989,m,华东
259689,1990+,m,华北
248811,1980-1989,m,华北
265437,1980-1989,m,华东
265438,1979-,m,华南
242162,1980-1989,m,华北
229501,1980-1989,m,华北
220599,1980-1989,m,华东
265296,1979-,m,华北
258716,1980-1989,m,华南
265439,1980-1989,m,华南
241496,1979-,m,华北
265440,1979-,m,华北
258316,1980-1989,m,华东
228232,1980-1989,m,华南
265347,1980-1989,m,华南
265292,1980-1989,m,华北
236788,1980-1989,m,华东
265441,1980-1989,m,华北
245111,1980-1989,m,华北
265442,1980-1989,m,华南
244357,1979-,m,华东
216084,1990+,m,华南
265443,1979-,m,华东
262534,1979-,m,华南
204980,1980-1989,m,华东
265444,1980-1989,m,华北
235865,1980-1989,m,华南
265445,1980-1989,m,华南
235676,1980-1989,m,华南
245718,1980-1989,m,华南
265446,1980-1989,m,华北
226352,1980-1989,m,华南
248614,1980-1989,m,华北
233419,1979-,m,华南
265447,1980-1989,m,华北
265448,1980-1989,m,华南
265449,1980-1989,m,华北
238682,1980-1989,m,华东
235493,1980-1989,m,华南
265450,1980-1989,m,华南
232433,1980-1989,m,华北
259198,1979-,m,华南
246927,1980-1989,m,华东
259425,1980-1989,m,华东
238814,1990+,m,华东
261855,1980-1989,m,华东
244343,1980-1989,m,华北
258576,1980-1989,m,华南
264415,1980-1989,m,华南
258876,1980-1989,m,华南
265451,1980-1989,m,华东
213664,1990+,m,华南
237794,1980-1989,m,华北
244796,1980-1989,m,华南
253601,1979-,m,华南
260294,1980-1989,m,华北
265452,1980-1989,m,华东
265453,1980-1989,m,华北
231967,1980-1989,m,华中
265454,1980-1989,m,华南
265455,1990+,m,华北
247449,1980-1989,m,华东
247179,1980-1989,m,华东
221486,1990+,m,华东
241366,1990+,m,华东
238776,1990+,m,华北
263641,1980-1989,m,华东
265456,1990+,m,华南
195673,1980-1989,m,华南
265457,1980-1989,m,华东
26233,1980-1989,m,华北
265458,1980-1989,m,华南
265459,1990+,m,华南
254628,1980-1989,m,华南
235220,1979-,m,华南
265460,1990+,m,华北
261796,1979-,m,华南
265461,1980-1989,m,华南
254789,1979-,m,华南
224527,1979-,m,华南
265462,1990+,m,华南
236713,1980-1989,m,华北
265463,1980-1989,m,华北
195048,1979-,m,华东
263305,1980-1989,m,华北
265464,1980-1989,m,华南
235663,1980-1989,m,华东
249986,1979-,m,华北
265466,1980-1989,m,华东
265467,1979-,m,华东
260052,1980-1989,m,华南
265468,1980-1989,m,华南
265469,1980-1989,m,华南
265470,1980-1989,m,华北
235151,1980-1989,m,华南
214013,1980-1989,m,华南
265471,1990+,m,华东
265472,1980-1989,m,华南
265473,1980-1989,m,华东
265474,1980-1989,m,华南
265475,1980-1989,m,华北
265476,1979-,m,华东
216472,1980-1989,m,华北
