id,age,gender,location
233911,1990+,f,华东
265355,1980-1989,m,华南
253993,1980-1989,m,东北
230079,1980-1989,m,华南
262517,1980-1989,m,华北
265356,1980-1989,f,华东
262064,1980-1989,m,华东
259173,1990+,m,华东
245732,1990+,m,华东
265357,1980-1989,f,华中
265358,1980-1989,m,华中
233529,1980-1989,m,华东
265359,1980-1989,m,华南
249998,1980-1989,m,华东
265360,1980-1989,m,华中
247467,1980-1989,m,华东
235962,1980-1989,m,华东
265361,1979-,m,华北
265362,1980-1989,f,华东
256321,1980-1989,m,华东
265363,1990+,m,华东
226369,1980-1989,m,华东
265364,1980-1989,m,华东
265365,1990+,m,华东
259891,1990+,m,华北
210902,1980-1989,f,华北
265366,1980-1989,m,华中
261858,1980-1989,m,华东
254061,1980-1989,m,华南
265367,1980-1989,m,华北
265368,1980-1989,m,华东
265369,1990+,f,华东
265370,1980-1989,m,华东
260061,1980-1989,m,西南
265371,1980-1989,f,华东
227325,1980-1989,m,华中
265372,1980-1989,m,华南
265373,1980-1989,m,华东
252191,1990+,f,华北
240086,1990+,m,华东
240859,1980-1989,m,华东
242864,1980-1989,m,华北
234063,1980-1989,m,华东
265374,1980-1989,m,华东
265375,1980-1989,m,华东
265376,1980-1989,m,华东
265377,1979-,m,华东
238687,1980-1989,m,华南
220628,1980-1989,m,华北
265379,1980-1989,f,华东
247894,1980-1989,m,华东
248803,1980-1989,m,华东
261859,1980-1989,m,华东
257848,1980-1989,f,华南
265380,1980-1989,m,华北
265381,1980-1989,m,华北
265382,1980-1989,m,华东
222462,1980-1989,m,华东
265383,1990+,f,华北
265384,1980-1989,f,华东
265386,1980-1989,m,西南
222344,1980-1989,m,华东
265387,1980-1989,m,华中
244334,1980-1989,m,华北
233741,1990+,m,华北
262060,1980-1989,m,华东
204952,1979-,m,华北
265388,1990+,m,华东
248675,1980-1989,m,华中
265389,1979-,m,华东
246034,1980-1989,m,华北
262756,1980-1989,f,西南
232449,1980-1989,m,华南
265390,1979-,m,华北
240157,1980-1989,m,华北
208098,1990+,f,华北
265391,1980-1989,m,华东
265392,1990+,m,华南
265393,1980-1989,m,华北
265394,1980-1989,m,华北
247947,1980-1989,m,华北
221373,1980-1989,m,华东
248765,1980-1989,m,华东
244803,1980-1989,m,华北
265395,1980-1989,m,华北
265396,1980-1989,m,华东
265397,1980-1989,m,华北
265398,1980-1989,m,华北
265399,1980-1989,m,华北
224826,1990+,m,华东
257780,1980-1989,f,华南
265400,1980-1989,m,华南
265401,1980-1989,m,华东
258710,1980-1989,m,华北
223332,1980-1989,m,华东
265402,1980-1989,m,华北
248880,1980-1989,m,华东
228294,1980-1989,m,华北
263463,1980-1989,m,华东
265403,1980-1989,m,华东
265253,1980-1989,m,华东
265244,1979-,m,华东
235163,1980-1989,f,华东
265404,1980-1989,m,华东
265405,1980-1989,m,华东
265406,1980-1989,m,华东
208222,1980-1989,m,华东
265407,1990+,m,华北
265408,1980-1989,m,华北
205909,1980-1989,m,华东
228029,1990+,m,华东
265409,1980-1989,m,华北
265410,1980-1989,m,华北
224505,1980-1989,m,华北
211129,1980-1989,m,华东
265411,1980-1989,m,华北
265412,1980-1989,m,华北
265413,1980-1989,f,华东
246961,1980-1989,m,华东
264356,1980-1989,m,西南
260641,1980-1989,m,华东
254952,1990+,f,华北
234139,1980-1989,m,华北
265414,1980-1989,m,华北
234965,1990+,m,华东
265415,1980-1989,m,华东
254039,1990+,m,华中
265416,1980-1989,m,华北
265417,1980-1989,m,华东
265418,1990+,m,华南
239189,1980-1989,m,华北
237799,1980-1989,m,华北
233158,1980-1989,m,华东
265419,1980-1989,m,华东
231009,1980-1989,f,华北
254965,1980-1989,m,华东
263238,1980-1989,m,华中
233524,1980-1989,m,华北
238239,1980-1989,m,西南
243320,1980-1989,m,华东
265420,1980-1989,f,华北
263687,1990+,f,华北
265421,1980-1989,m,华东
265422,1980-1989,m,华中
